table_name	column_name	column_type	is_nullable	column_default	column_key	extra	IFNULL(column_comment,'')
audit_log	id	bigint(20) unsigned	NO	NULL	PRI	auto_increment	
audit_log	created_at	datetime	NO	NULL	MUL		
audit_log	event	varchar(60)	NO	NULL	MUL		
audit_log	entity_type	varchar(60)	YES	NULL	MUL		
audit_log	entity_id	bigint(20) unsigned	YES	NULL			
audit_log	page_uri	varchar(255)	NO	NULL			
audit_log	ip	varchar(45)	NO	NULL			
audit_log	user_agent	varchar(255)	NO	NULL			
audit_log	session_id	varchar(128)	NO	NULL			
audit_log	meta_json	longtext	NO	NULL			
audit_log	meta_hash	char(64)	NO	NULL			
cases	id	char(36)	NO	NULL	PRI		
cases	tenant_id	char(36)	NO	NULL	MUL		
cases	order_id	char(36)	NO	NULL	MUL		
cases	case_type	varchar(30)	NO	NULL			
cases	status	varchar(30)	NO	'open'			
cases	severity	varchar(10)	NO	'low'			
cases	confidence	decimal(4,3)	NO	0.000			
cases	auto_decision	varchar(40)	YES	NULL			
cases	reason_code	varchar(60)	YES	NULL			
cases	summary	varchar(255)	YES	NULL			
cases	assigned_to	char(36)	YES	NULL	MUL		
cases	created_at	datetime	NO	current_timestamp()			
cases	updated_at	datetime	NO	current_timestamp()		on update current_timestamp()	
case_events	id	char(36)	NO	NULL	PRI		
case_events	tenant_id	char(36)	NO	NULL	MUL		
case_events	case_id	char(36)	NO	NULL	MUL		
case_events	ts	datetime	NO	current_timestamp()			
case_events	actor	varchar(20)	NO	'system'			
case_events	channel	varchar(20)	NO	'api'			
case_events	event_type	varchar(30)	NO	'note'			
case_events	message	text	YES	NULL			
case_events	payload	longtext	YES	NULL			
cmp_branding	id	int(11)	NO	NULL	PRI	auto_increment	
cmp_branding	tenant_key	varchar(64)	NO	NULL	UNI		
cmp_branding	branding_json	longtext	NO	NULL			
cmp_branding	updated_at	datetime	NO	current_timestamp()		on update current_timestamp()	
cmp_categories	id	int(11)	NO	NULL	PRI	auto_increment	
cmp_categories	tenant_key	varchar(64)	NO	NULL	MUL		
cmp_categories	key	varchar(32)	NO	NULL			
cmp_categories	is_required	tinyint(1)	NO	0			
cmp_categories	is_enabled	tinyint(1)	NO	1			
cmp_categories	sort_order	int(11)	NO	100			
cmp_categories	created_at	datetime	NO	current_timestamp()			
cmp_categories	updated_at	datetime	NO	current_timestamp()		on update current_timestamp()	
cmp_consents	id	bigint(20)	NO	NULL	PRI	auto_increment	
cmp_consents	tenant_key	varchar(64)	NO	NULL	MUL		
cmp_consents	domain_id	int(11)	NO	NULL	MUL		
cmp_consents	consent_id	char(36)	NO	NULL			
cmp_consents	policy_version	int(11)	NO	1			
cmp_consents	status	enum('accepted','rejected','custom')	NO	NULL			
cmp_consents	choices_json	longtext	NO	NULL			
cmp_consents	first_seen_at	datetime	NO	current_timestamp()			
cmp_consents	last_updated_at	datetime	NO	current_timestamp()		on update current_timestamp()	
cmp_consents	expires_at	datetime	NO	NULL			
cmp_consent_logs	id	bigint(20)	NO	NULL	PRI	auto_increment	
cmp_consent_logs	tenant_key	varchar(64)	NO	NULL	MUL		
cmp_consent_logs	domain_id	int(11)	NO	NULL	MUL		
cmp_consent_logs	consent_id	char(36)	NO	NULL			
cmp_consent_logs	event	enum('created','updated','withdrawn')	NO	NULL			
cmp_consent_logs	policy_version	int(11)	NO	NULL			
cmp_consent_logs	choices_json	longtext	NO	NULL			
cmp_consent_logs	ip_hash	char(64)	YES	NULL			
cmp_consent_logs	ua_hash	char(64)	YES	NULL			
cmp_consent_logs	created_at	datetime	NO	current_timestamp()			
cmp_domains	id	int(11)	NO	NULL	PRI	auto_increment	
cmp_domains	tenant_key	varchar(64)	NO	NULL	MUL		
cmp_domains	domain	varchar(255)	NO	NULL	MUL		
cmp_domains	is_primary	tinyint(1)	NO	0			
cmp_domains	status	enum('active','disabled')	NO	'active'			
cmp_domains	created_at	datetime	NO	current_timestamp()			
cmp_domains	updated_at	datetime	NO	current_timestamp()		on update current_timestamp()	
cmp_policy	id	int(11)	NO	NULL	PRI	auto_increment	
cmp_policy	tenant_key	varchar(64)	NO	NULL	UNI		
cmp_policy	policy_version	int(11)	NO	1			
cmp_policy	config_hash	char(64)	NO	NULL			
cmp_policy	updated_at	datetime	NO	current_timestamp()		on update current_timestamp()	
cmp_scripts	id	int(11)	NO	NULL	PRI	auto_increment	
cmp_scripts	tenant_key	varchar(64)	NO	NULL	MUL		
cmp_scripts	category_key	varchar(32)	NO	NULL			
cmp_scripts	name	varchar(128)	NO	NULL			
cmp_scripts	script_type	enum('src','inline')	NO	NULL			
cmp_scripts	src_url	varchar(512)	YES	NULL			
cmp_scripts	inline_code	mediumtext	YES	NULL			
cmp_scripts	attributes_json	longtext	YES	NULL			
cmp_scripts	is_enabled	tinyint(1)	NO	1			
cmp_scripts	sort_order	int(11)	NO	100			
cmp_scripts	created_at	datetime	NO	current_timestamp()			
cmp_scripts	updated_at	datetime	NO	current_timestamp()		on update current_timestamp()	
cmp_texts	id	int(11)	NO	NULL	PRI	auto_increment	
cmp_texts	tenant_key	varchar(64)	NO	NULL	MUL		
cmp_texts	lang	varchar(8)	NO	NULL			
cmp_texts	text_key	varchar(64)	NO	NULL			
cmp_texts	text_value	text	NO	NULL			
cmp_texts	updated_at	datetime	NO	current_timestamp()		on update current_timestamp()	
contact_messages	id	bigint(20) unsigned	NO	NULL	PRI	auto_increment	
contact_messages	public_id	char(16)	NO	NULL	UNI		
contact_messages	created_at	datetime	NO	NULL	MUL		
contact_messages	status	varchar(30)	NO	'new'	MUL		
contact_messages	name	varchar(120)	NO	NULL			
contact_messages	email	varchar(190)	NO	NULL	MUL		
contact_messages	topic	varchar(100)	YES	NULL			
contact_messages	website	varchar(255)	YES	NULL			
contact_messages	company	varchar(190)	YES	NULL			
contact_messages	phone	varchar(60)	YES	NULL			
