table_name	index_name	non_unique	seq_in_index	column_name	index_type
audit_log	idx_created_at	1	1	created_at	BTREE
audit_log	idx_entity	1	1	entity_type	BTREE
audit_log	idx_entity	1	2	entity_id	BTREE
audit_log	idx_event	1	1	event	BTREE
audit_log	PRIMARY	0	1	id	BTREE
cases	fk_cases_order	1	1	order_id	BTREE
cases	fk_cases_user	1	1	assigned_to	BTREE
cases	ix_cases_assigned_to	1	1	tenant_id	BTREE
cases	ix_cases_assigned_to	1	2	assigned_to	BTREE
cases	ix_cases_tenant_severity	1	1	tenant_id	BTREE
cases	ix_cases_tenant_severity	1	2	severity	BTREE
cases	ix_cases_tenant_status	1	1	tenant_id	BTREE
cases	ix_cases_tenant_status	1	2	status	BTREE
cases	ix_cases_tenant_updated	1	1	tenant_id	BTREE
cases	ix_cases_tenant_updated	1	2	updated_at	BTREE
cases	PRIMARY	0	1	id	BTREE
cases	ux_cases_one_active_per_order_type	0	1	tenant_id	BTREE
cases	ux_cases_one_active_per_order_type	0	2	order_id	BTREE
cases	ux_cases_one_active_per_order_type	0	3	case_type	BTREE
case_events	fk_case_events_case	1	1	case_id	BTREE
case_events	ix_case_events_tenant_case_ts	1	1	tenant_id	BTREE
case_events	ix_case_events_tenant_case_ts	1	2	case_id	BTREE
case_events	ix_case_events_tenant_case_ts	1	3	ts	BTREE
case_events	PRIMARY	0	1	id	BTREE
cmp_branding	PRIMARY	0	1	id	BTREE
cmp_branding	uq_tenant	0	1	tenant_key	BTREE
cmp_categories	idx_tenant	1	1	tenant_key	BTREE
cmp_categories	PRIMARY	0	1	id	BTREE
cmp_categories	uq_tenant_key	0	1	tenant_key	BTREE
cmp_categories	uq_tenant_key	0	2	key	BTREE
cmp_consents	fk_cmp_consents_domain	1	1	domain_id	BTREE
cmp_consents	idx_tenant_domain	1	1	tenant_key	BTREE
cmp_consents	idx_tenant_domain	1	2	domain_id	BTREE
cmp_consents	PRIMARY	0	1	id	BTREE
cmp_consents	uq_tenant_consent	0	1	tenant_key	BTREE
cmp_consents	uq_tenant_consent	0	2	consent_id	BTREE
cmp_consent_logs	fk_cmp_logs_domain	1	1	domain_id	BTREE
cmp_consent_logs	idx_tenant_consent	1	1	tenant_key	BTREE
cmp_consent_logs	idx_tenant_consent	1	2	consent_id	BTREE
cmp_consent_logs	PRIMARY	0	1	id	BTREE
cmp_domains	idx_domain	1	1	domain	BTREE
cmp_domains	idx_tenant	1	1	tenant_key	BTREE
cmp_domains	PRIMARY	0	1	id	BTREE
cmp_domains	uq_tenant_domain	0	1	tenant_key	BTREE
cmp_domains	uq_tenant_domain	0	2	domain	BTREE
cmp_policy	PRIMARY	0	1	id	BTREE
cmp_policy	uq_tenant	0	1	tenant_key	BTREE
cmp_scripts	idx_tenant	1	1	tenant_key	BTREE
cmp_scripts	idx_tenant_cat	1	1	tenant_key	BTREE
cmp_scripts	idx_tenant_cat	1	2	category_key	BTREE
cmp_scripts	PRIMARY	0	1	id	BTREE
cmp_texts	idx_tenant_lang	1	1	tenant_key	BTREE
cmp_texts	idx_tenant_lang	1	2	lang	BTREE
cmp_texts	PRIMARY	0	1	id	BTREE
cmp_texts	uq_tenant_lang_key	0	1	tenant_key	BTREE
cmp_texts	uq_tenant_lang_key	0	2	lang	BTREE
cmp_texts	uq_tenant_lang_key	0	3	text_key	BTREE
contact_messages	idx_created_at	1	1	created_at	BTREE
contact_messages	idx_email	1	1	email	BTREE
contact_messages	idx_status	1	1	status	BTREE
contact_messages	idx_user_id	1	1	user_id	BTREE
contact_messages	PRIMARY	0	1	id	BTREE
contact_messages	uq_public_id	0	1	public_id	BTREE
email_verify_tokens	PRIMARY	0	1	user_id	BTREE
evidence	fk_evidence_case	1	1	case_id	BTREE
evidence	ix_evidence_tenant_case	1	1	tenant_id	BTREE
evidence	ix_evidence_tenant_case	1	2	case_id	BTREE
evidence	ix_evidence_tenant_kind	1	1	tenant_id	BTREE
evidence	ix_evidence_tenant_kind	1	2	kind	BTREE
evidence	PRIMARY	0	1	id	BTREE
lego_color_map	PRIMARY	0	1	bl_color_id	BTREE
lego_element_map	PRIMARY	0	1	element_id	BTREE
lego_rb_colors	PRIMARY	0	1	rb_color_id	BTREE
loss_cases	idx_loss_cases_order	1	1	order_id	BTREE
loss_cases	idx_loss_cases_tenant	1	1	tenant_id	BTREE
loss_cases	idx_loss_cases_type	1	1	case_type	BTREE
loss_cases	PRIMARY	0	1	id	BTREE
loss_cases	uq_loss_cases	0	1	tenant_id	BTREE
loss_cases	uq_loss_cases	0	2	order_id	BTREE
loss_cases	uq_loss_cases	0	3	case_type	BTREE
loss_orders	idx_loss_orders_platform	1	1	platform	BTREE
loss_orders	idx_loss_orders_tenant	1	1	tenant_id	BTREE
loss_orders	PRIMARY	0	1	id	BTREE
loss_orders	uq_loss_orders	0	1	tenant_id	BTREE
loss_orders	uq_loss_orders	0	2	platform	BTREE
loss_orders	uq_loss_orders	0	3	external_id	BTREE
loss_returns	idx_loss_returns_order	1	1	order_id	BTREE
loss_returns	idx_loss_returns_tenant	1	1	tenant_id	BTREE
loss_returns	PRIMARY	0	1	id	BTREE
loss_returns	uq_loss_returns	0	1	tenant_id	BTREE
loss_returns	uq_loss_returns	0	2	order_id	BTREE
loss_shipments	idx_loss_shipments_order	1	1	order_id	BTREE
loss_shipments	idx_loss_shipments_tenant	1	1	tenant_id	BTREE
loss_shipments	PRIMARY	0	1	id	BTREE
loss_shipments	uq_loss_shipments	0	1	tenant_id	BTREE
loss_shipments	uq_loss_shipments	0	2	order_id	BTREE
loss_tenant_settings	PRIMARY	0	1	tenant_id	BTREE
orders	ix_orders_tenant_created	1	1	tenant_id	BTREE
orders	ix_orders_tenant_created	1	2	created_at	BTREE
orders	ix_orders_tenant_ordered_at	1	1	tenant_id	BTREE
orders	ix_orders_tenant_ordered_at	1	2	ordered_at	BTREE
orders	ix_orders_tenant_status	1	1	tenant_id	BTREE
orders	ix_orders_tenant_status	1	2	status	BTREE
orders	PRIMARY	0	1	id	BTREE
orders	ux_orders_tenant_platform_external	0	1	tenant_id	BTREE
orders	ux_orders_tenant_platform_external	0	2	platform	BTREE
orders	ux_orders_tenant_platform_external	0	3	external_id	BTREE
payments	fk_payments_order	1	1	order_id	BTREE
payments	ix_payments_provider_ref	1	1	tenant_id	BTREE
payments	ix_payments_provider_ref	1	2	provider	BTREE
payments	ix_payments_provider_ref	1	3	provider_ref	BTREE
payments	ix_payments_tenant_order	1	1	tenant_id	BTREE
payments	ix_payments_tenant_order	1	2	order_id	BTREE
payments	ix_payments_tenant_paid_at	1	1	tenant_id	BTREE
payments	ix_payments_tenant_paid_at	1	2	paid_at	BTREE
payments	PRIMARY	0	1	id	BTREE
pdf_merge_dailystats	PRIMARY	0	1	stat_date	BTREE
pdf_merge_events	idx_pdf_merge_events_created	1	1	created_at	BTREE
pdf_merge_events	idx_pdf_merge_events_event	1	1	event	BTREE
pdf_merge_events	idx_pdf_merge_events_event	1	2	created_at	BTREE
pdf_merge_events	idx_pdf_merge_events_job	1	1	job_id	BTREE
pdf_merge_events	idx_pdf_merge_events_job	1	2	created_at	BTREE
pdf_merge_events	idx_pdf_merge_events_session	1	1	session_id	BTREE
pdf_merge_events	idx_pdf_merge_events_session	1	2	created_at	BTREE
pdf_merge_events	PRIMARY	0	1	id	BTREE
pdf_merge_jobs	idx_pdf_merge_jobs_created	1	1	created_at	BTREE
pdf_merge_jobs	idx_pdf_merge_jobs_downloaded	1	1	downloaded	BTREE
pdf_merge_jobs	idx_pdf_merge_jobs_downloaded	1	2	created_at	BTREE
pdf_merge_jobs	idx_pdf_merge_jobs_large	1	1	is_large_event	BTREE
pdf_merge_jobs	idx_pdf_merge_jobs_large	1	2	created_at	BTREE
pdf_merge_jobs	idx_pdf_merge_jobs_session	1	1	session_id	BTREE
pdf_merge_jobs	idx_pdf_merge_jobs_session	1	2	created_at	BTREE
pdf_merge_jobs	idx_pdf_merge_jobs_status	1	1	status	BTREE
pdf_merge_jobs	idx_pdf_merge_jobs_status	1	2	created_at	BTREE
pdf_merge_jobs	PRIMARY	0	1	id	BTREE
pdf_merge_job_files	idx_pdf_merge_job_files_job	1	1	job_id	BTREE
pdf_merge_job_files	idx_pdf_merge_job_files_job	1	2	created_at	BTREE
pdf_merge_job_files	idx_pdf_merge_job_files_kind	1	1	kind	BTREE
pdf_merge_job_files	PRIMARY	0	1	id	BTREE
pdf_merge_sessions	idx_pdf_merge_sessions_asn	1	1	asn	BTREE
pdf_merge_sessions	idx_pdf_merge_sessions_country	1	1	country_code	BTREE
pdf_merge_sessions	idx_pdf_merge_sessions_created_at	1	1	created_at	BTREE
pdf_merge_sessions	idx_pdf_merge_sessions_last_seen	1	1	last_seen_at	BTREE
pdf_merge_sessions	PRIMARY	0	1	id	BTREE
pdf_merge_sessions	uq_pdf_merge_sessions_token	0	1	guest_token	BTREE
plans	plan_key	0	1	plan_key	BTREE
plans	PRIMARY	0	1	id	BTREE
plan_features	plan_id	1	1	plan_id	BTREE
plan_features	PRIMARY	0	1	id	BTREE
returns	fk_returns_order	1	1	order_id	BTREE
returns	ix_returns_tenant_returned_at	1	1	tenant_id	BTREE
returns	ix_returns_tenant_returned_at	1	2	returned_at	BTREE
returns	ix_returns_tracking	1	1	tenant_id	BTREE
returns	ix_returns_tracking	1	2	carrier	BTREE
returns	ix_returns_tracking	1	3	tracking_code	BTREE
returns	PRIMARY	0	1	id	BTREE
returns	ux_returns_one_per_order	0	1	tenant_id	BTREE
returns	ux_returns_one_per_order	0	2	order_id	BTREE
shipments	fk_shipments_order	1	1	order_id	BTREE
shipments	ix_shipments_tenant_packed_at	1	1	tenant_id	BTREE
shipments	ix_shipments_tenant_packed_at	1	2	packed_at	BTREE
shipments	ix_shipments_tracking	1	1	tenant_id	BTREE
shipments	ix_shipments_tracking	1	2	carrier	BTREE
shipments	ix_shipments_tracking	1	3	tracking_code	BTREE
shipments	PRIMARY	0	1	id	BTREE
shipments	ux_shipments_one_per_order	0	1	tenant_id	BTREE
shipments	ux_shipments_one_per_order	0	2	order_id	BTREE
shipping_rates	idx_active	1	1	active	BTREE
shipping_rates	idx_lookup	1	1	carrier	BTREE
shipping_rates	idx_lookup	1	2	zone	BTREE
shipping_rates	idx_lookup	1	3	weight_from_g	BTREE
shipping_rates	idx_lookup	1	4	weight_to_g	BTREE
shipping_rates	idx_lookup	1	5	active	BTREE
shipping_rates	PRIMARY	0	1	id	BTREE
shipping_rates	uq_rate	0	1	carrier	BTREE
shipping_rates	uq_rate	0	2	service	BTREE
shipping_rates	uq_rate	0	3	zone	BTREE
shipping_rates	uq_rate	0	4	weight_from_g	BTREE
shipping_rates	uq_rate	0	5	weight_to_g	BTREE
shipping_rates	uq_rate	0	6	currency	BTREE
shipping_rates	uq_rate	0	7	valid_from	BTREE
shipping_rates	uq_rate	0	8	valid_to	BTREE
shipping_surcharges	idx_active	1	1	active	BTREE
shipping_surcharges	PRIMARY	0	1	id	BTREE
shipping_surcharges	uq_surcharge	0	1	carrier	BTREE
shipping_surcharges	uq_surcharge	0	2	name	BTREE
shipping_surcharges	uq_surcharge	0	3	service	BTREE
shipping_surcharges	uq_surcharge	0	4	zone	BTREE
shipping_surcharges	uq_surcharge	0	5	currency	BTREE
shipping_surcharges	uq_surcharge	0	6	valid_from	BTREE
shipping_surcharges	uq_surcharge	0	7	valid_to	BTREE
tenants	ix_tenants_active	1	1	is_active	BTREE
tenants	ix_tenants_plan	1	1	plan	BTREE
tenants	PRIMARY	0	1	id	BTREE
tenant_api_keys	ix_api_keys_tenant	1	1	tenant_id	BTREE
tenant_api_keys	PRIMARY	0	1	id	BTREE
tenant_api_keys	ux_api_keys_tenant_name	0	1	tenant_id	BTREE
tenant_api_keys	ux_api_keys_tenant_name	0	2	name	BTREE
tenant_subscriptions	plan_id	1	1	plan_id	BTREE
tenant_subscriptions	PRIMARY	0	1	id	BTREE
tool_diff_saves	idx_user_id_created	1	1	user_id	BTREE
tool_diff_saves	idx_user_id_created	1	2	created_at	BTREE
tool_diff_saves	PRIMARY	0	1	id	BTREE
tool_events	idx_session_created	1	1	session_id	BTREE
tool_events	idx_session_created	1	2	created_at	BTREE
tool_events	idx_tool_event_created	1	1	tool	BTREE
tool_events	idx_tool_event_created	1	2	event	BTREE
tool_events	idx_tool_event_created	1	3	created_at	BTREE
tool_events	PRIMARY	0	1	id	BTREE
users	ix_users_active	1	1	is_active	BTREE
users	ix_users_tenant_id	1	1	tenant_id	BTREE
users	PRIMARY	0	1	id	BTREE
users	ux_users_tenant_email	0	1	tenant_id	BTREE
users	ux_users_tenant_email	0	2	email	BTREE
user_acquisition	idx_landing_prefix	1	1	landing_url	BTREE
user_acquisition	idx_referrer_prefix	1	1	referrer_url	BTREE
user_acquisition	idx_tenant_registered	1	1	tenant_id	BTREE
user_acquisition	idx_tenant_registered	1	2	registered_at	BTREE
user_acquisition	idx_utm_campaign	1	1	utm_campaign	BTREE
user_acquisition	PRIMARY	0	1	user_id	BTREE
user_events	idx_tenant_event_dt	1	1	tenant_id	BTREE
user_events	idx_tenant_event_dt	1	2	event	BTREE
user_events	idx_tenant_event_dt	1	3	created_at	BTREE
user_events	idx_user_dt	1	1	user_id	BTREE
user_events	idx_user_dt	1	2	created_at	BTREE
user_events	PRIMARY	0	1	id	BTREE
user_sessions	idx_user	1	1	user_id	BTREE
user_sessions	PRIMARY	0	1	id	BTREE
user_sessions	uq_session	0	1	session_id	BTREE
user_twofa	PRIMARY	0	1	user_id	BTREE
user_twofa_backup_codes	ix_backup_user	1	1	user_id	BTREE
user_twofa_backup_codes	PRIMARY	0	1	id	BTREE
user_twofa_trusted_devices	ix_exp	1	1	expires_at	BTREE
user_twofa_trusted_devices	ix_user	1	1	user_id	BTREE
user_twofa_trusted_devices	PRIMARY	0	1	id	BTREE
user_twofa_trusted_devices	uq_selector	0	1	selector	BTREE
