table_name	table_rows	data_kb	idx_kb	engine	table_collation	comment
audit_log	11604	4624	2192	InnoDB	utf8mb4_general_ci	
cases	1	16	112	InnoDB	utf8mb4_unicode_ci	
case_events	0	16	32	InnoDB	utf8mb4_unicode_ci	
cmp_branding	3	16	16	InnoDB	utf8mb4_general_ci	
cmp_categories	12	16	32	InnoDB	utf8mb4_general_ci	
cmp_consents	10	16	48	InnoDB	utf8mb4_general_ci	
cmp_consent_logs	14	16	32	InnoDB	utf8mb4_general_ci	
cmp_domains	11	16	48	InnoDB	utf8mb4_general_ci	
cmp_policy	4	16	16	InnoDB	utf8mb4_general_ci	
cmp_scripts	12	16	32	InnoDB	utf8mb4_general_ci	
cmp_texts	102	16	32	InnoDB	utf8mb4_general_ci	
contact_messages	954	1552	240	InnoDB	utf8mb4_general_ci	
email_verify_tokens	504	96	0	InnoDB	utf8mb4_general_ci	
evidence	0	16	48	InnoDB	utf8mb4_unicode_ci	
lego_color_map	87	16	0	InnoDB	utf8mb3_general_ci	
lego_element_map	103541	7696	0	InnoDB	utf8mb3_general_ci	
lego_rb_colors	275	16	0	InnoDB	utf8mb3_general_ci	
loss_cases	0	16	64	InnoDB	utf8mb4_general_ci	
loss_orders	0	16	48	InnoDB	utf8mb4_general_ci	
loss_returns	0	16	48	InnoDB	utf8mb4_general_ci	
loss_shipments	0	16	48	InnoDB	utf8mb4_general_ci	
loss_tenant_settings	0	16	0	InnoDB	utf8mb3_general_ci	
orders	3	16	64	InnoDB	utf8mb4_unicode_ci	
payments	0	16	64	InnoDB	utf8mb4_unicode_ci	
pdf_merge_dailystats	4	16	0	InnoDB	utf8mb4_general_ci	
pdf_merge_events	135	144	64	InnoDB	utf8mb4_general_ci	
pdf_merge_jobs	32	64	80	InnoDB	utf8mb4_general_ci	
pdf_merge_job_files	334	80	32	InnoDB	utf8mb4_general_ci	
pdf_merge_sessions	115	64	80	InnoDB	utf8mb4_general_ci	
plans	3	16	16	InnoDB	utf8mb3_general_ci	
plan_features	9	16	16	InnoDB	utf8mb3_general_ci	
returns	1	16	64	InnoDB	utf8mb4_unicode_ci	
shipments	1	16	64	InnoDB	utf8mb4_unicode_ci	
shipping_rates	116	64	48	InnoDB	utf8mb4_general_ci	
shipping_surcharges	32	16	32	InnoDB	utf8mb4_general_ci	
tenants	530	80	112	InnoDB	utf8mb4_unicode_ci	
tenant_api_keys	0	16	32	InnoDB	utf8mb4_unicode_ci	
tenant_subscriptions	3	16	16	InnoDB	utf8mb3_general_ci	
tool_diff_saves	3	16	16	InnoDB	utf8mb4_unicode_ci	
tool_events	8	16	32	InnoDB	utf8mb4_general_ci	
users	520	144	208	InnoDB	utf8mb4_unicode_ci	
user_acquisition	99	64	64	InnoDB	utf8mb4_general_ci	
user_events	620	208	112	InnoDB	utf8mb4_general_ci	
user_sessions	538	160	96	InnoDB	utf8mb4_unicode_ci	
user_twofa	1	16	0	InnoDB	utf8mb4_unicode_ci	
user_twofa_backup_codes	10	16	16	InnoDB	utf8mb4_unicode_ci	
user_twofa_trusted_devices	0	16	48	InnoDB	utf8mb4_unicode_ci	
